s:0|2024-04-14 15:51:22.464606
r:0,|2024-04-14 15:51:22.483919
s:1|2024-04-14 15:51:22.716065
r:1,|2024-04-14 15:51:22.737402
s:2|2024-04-14 15:51:23.168577
r:2,|2024-04-14 15:51:23.187922
s:3|2024-04-14 15:51:23.805013
r:3,|2024-04-14 15:51:23.827342
s:4|2024-04-14 15:51:24.604448
r:4,|2024-04-14 15:51:24.624086
s:5|2024-04-14 15:51:25.099747
r:5,|2024-04-14 15:51:25.116001
s:6|2024-04-14 15:51:25.477932
r:6,|2024-04-14 15:51:25.492584
s:7|2024-04-14 15:51:26.331129
r:7,|2024-04-14 15:51:26.347826
s:8|2024-04-14 15:51:26.914920
s:9|2024-04-14 15:51:27.395220
r:9,|2024-04-14 15:51:27.416532
s:10|2024-04-14 15:51:27.770924
s:11|2024-04-14 15:51:28.238390
r:11,|2024-04-14 15:51:28.258649
s:12|2024-04-14 15:51:28.352246
r:12,|2024-04-14 15:51:28.371586
s:13|2024-04-14 15:51:28.690499
r:13,|2024-04-14 15:51:28.707474
s:14|2024-04-14 15:51:29.316537
s:15|2024-04-14 15:51:29.816665
s:16|2024-04-14 15:51:30.325577
r:16,|2024-04-14 15:51:30.341378
s:17|2024-04-14 15:51:30.791381
s:18|2024-04-14 15:51:30.992757
r:18,|2024-04-14 15:51:31.011509
s:19|2024-04-14 15:51:31.563187
r:19,|2024-04-14 15:51:31.583828
s:20|2024-04-14 15:51:32.340685
r:20,|2024-04-14 15:51:32.358007
s:21|2024-04-14 15:51:32.626621
r:21,|2024-04-14 15:51:32.648148
s:22|2024-04-14 15:51:33.130599
s:23|2024-04-14 15:51:33.514725
s:24|2024-04-14 15:51:34.458815
r:24,|2024-04-14 15:51:34.479478
s:25|2024-04-14 15:51:35.378484
r:25,|2024-04-14 15:51:35.400371
s:26|2024-04-14 15:51:35.809866
s:27|2024-04-14 15:51:36.009448
r:27,|2024-04-14 15:51:36.030347
s:28|2024-04-14 15:51:36.351752
r:28,|2024-04-14 15:51:36.374932
s:29|2024-04-14 15:51:37.093192
r:29,|2024-04-14 15:51:37.114469
s:30|2024-04-14 15:51:37.681380
r:30,|2024-04-14 15:51:37.702455
s:31|2024-04-14 15:51:38.006230
r:31,|2024-04-14 15:51:38.027036
s:32|2024-04-14 15:51:38.306758
r:32,|2024-04-14 15:51:38.326026
s:33|2024-04-14 15:51:38.790584
s:34|2024-04-14 15:51:39.446686
r:34,|2024-04-14 15:51:39.467650
s:35|2024-04-14 15:51:40.256022
r:35,|2024-04-14 15:51:40.273077
s:36|2024-04-14 15:51:40.994690
s:37|2024-04-14 15:51:41.657336
r:37,|2024-04-14 15:51:41.674377
s:38|2024-04-14 15:51:42.301047
r:38,|2024-04-14 15:51:42.322748
s:39|2024-04-14 15:51:42.925263
r:39,|2024-04-14 15:51:42.946166
s:40|2024-04-14 15:51:43.371650
s:41|2024-04-14 15:51:44.007773
r:41,|2024-04-14 15:51:44.027951
s:42|2024-04-14 15:51:44.132365
r:42,|2024-04-14 15:51:44.157072
s:43|2024-04-14 15:51:44.590581
r:43,|2024-04-14 15:51:44.609816
s:44|2024-04-14 15:51:44.886855
r:44,|2024-04-14 15:51:44.909113
s:45|2024-04-14 15:51:45.449834
r:45,|2024-04-14 15:51:45.465921
s:46|2024-04-14 15:51:46.205266
r:46,|2024-04-14 15:51:46.222732
s:47|2024-04-14 15:51:46.707260
s:48|2024-04-14 15:51:47.433243
r:48,|2024-04-14 15:51:47.458341
s:49|2024-04-14 15:51:47.871933
s:50|2024-04-14 15:51:48.367331
r:50,|2024-04-14 15:51:48.391649
s:51|2024-04-14 15:51:49.064114
r:51,|2024-04-14 15:51:49.080570
s:52|2024-04-14 15:51:49.400241
r:52,|2024-04-14 15:51:49.422221
s:53|2024-04-14 15:51:49.946311
r:53,|2024-04-14 15:51:49.964826
s:54|2024-04-14 15:51:50.224918
